UniprotID,GeneName,Schirmer_2003,Korfali_2010,Wilkie_2010,Korfali_2012,Korfali_2012_NE:MM-ratio,Cheng_2019,Cheng_2019_Score:Undiff,Cheng_2019_Score:Adipo,Cheng_2019_Score:Myo,#ProteomePapers
P46977,STT3A,0,1,1,1,0.66,1,0.3792167009187605,0.527766681484729,0.5195911073308882,4
Q9BVC6,TMEM109,0,1,1,1,11.47,0,0.0,0.0,0.0,3
Q96JJ7,TMX3,0,1,0,1,2.03,1,0.6819529193182274,0.2941351870326998,0.5735029250458699,3
Q9H8H3,METTL7A,0,1,1,1,0.43,0,0.0,0.0,0.0,3
Q9Y228,TRAF3IP3,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q07065,CKAP4,0,1,1,1,16.44,1,0.6308875938701877,0.2516456570841538,0.3705787747002727,4
Q9BY50,SEC11C,0,1,1,1,inf,0,0.0,0.0,0.0,3
Q96F15,GIMAP5,0,1,1,0,0.0,0,0.0,0.0,0.0,2
Q9BQA9,CYBC1,0,1,1,1,12.05,1,0.5478585157992754,0.7202189423964955,0.2198278769777092,4
Q9H1E5,TMX4,0,1,1,1,17.4,1,0.93235163174753,0.7924996994952159,0.8441749148981452,4
Q8N6S5,ARL6IP6,0,1,1,1,inf,1,1.0,0.8630720202221337,1.0,4
Q9H330,TMEM245,0,1,1,1,inf,0,0.0,0.0,0.0,3
P48651,PTDSS1,0,1,1,0,0.0,0,0.0,0.0,0.0,2
Q96D96,HVCN1,0,1,0,1,inf,0,0.0,0.0,0.0,2
Q9C0E8,LNPK,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9HBL7,PLGRKT,0,1,0,1,inf,0,0.0,0.0,0.0,2
Q8NF37,LPCAT1,0,1,0,0,0.0,1,0.6557615950380632,0.4290197549268392,0.6489372405087788,2
Q6P1A2,LPCAT3,0,1,1,1,13.11,1,0.1658122467248712,0.0506532237025866,1.0,4
Q8TEB9,RHBDD1,0,1,1,1,inf,1,0.6094457885513458,0.4713595772289219,0.8172349815775689,4
Q8N4L2,PIP4P2,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q92520,FAM3C,0,1,0,1,0.22,0,0.0,0.0,0.0,2
Q8TDW0,LRRC8C,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q8N511,TMEM199,0,1,0,1,inf,0,0.0,0.0,0.0,2
Q9BX59,TAPBPL,0,1,0,1,1.62,0,0.0,0.0,0.0,2
Q9GZT6,CCDC90B,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q6NXT6,TAPT1,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9H0U3,MAGT1,0,1,0,1,3.67,0,0.0,0.0,0.0,2
Q12912,IRAG2,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q7L5N7,LPCAT2,0,1,0,1,inf,0,0.0,0.0,0.0,2
Q96BY9,SARAF,0,1,1,1,inf,1,0.7525433801289568,0.2065158400617293,0.4317111320034774,4
P43308,SSR2,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q8N755,SLC66A3,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q04941,PLP2,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9NX47,MARCHF5,0,1,1,1,2.55,1,0.2149564439487003,0.2750867442102389,0.5618775669767606,4
Q9C002,NMES1,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9H0R3,TMEM222,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q96ER9,CCDC51,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9HC07,TMEM165,0,1,0,0,0.0,1,0.2778794012343392,0.5549184624629852,0.4754127162696556,2
P11836,MS4A1,0,1,0,1,inf,0,0.0,0.0,0.0,2
Q5VWC8,HACD4,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9H920,RNF121,0,1,1,0,0.0,0,0.0,0.0,0.0,2
